AffiliateProgram,Product_type,Commission,Cookie,Signup,Description,Categories
BowFlex Affiliate Program,Physical Product,7% Per Sale,3 Days,https://signup.cj.com/member/signup/publisher/?cid=1849428&utm_source=getlasso#/branded?_k=fz8ene,"This is a big brand with a smaller product line, but it’s been around since the 90s, and their primary product is immensely popular.",Fitness
ComboInk Affiliate Program,Physical Product,25% Per Sale,120 Days,https://www.comboink.com/become-an-affiliate/,"ComboInk provides you with convenient, cost-effective printing essentials for both home and business use.",Electronics
Garmin Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.flexoffers.com/affiliate-programs/garmin-affiliate-program/,Garmin creates GPS navigation and other wearable technology for outdoors and more.,"Tech, Travel"
Gearbest Affiliate Program,Physical Product,1% - 10% Per Sale,30 Days,https://www.gearbest.com/about/affiliate.html,Gearbest is a leading Chinese business-to-consumer global seller of electronics online.,Electronics
Paragon Sports Affiliate Program,Physical Product,8% Per Sale,7 Days,https://www.paragonsports.com/pages/affiliate,"Paragon Sports sells sports gear, including cutting-edge sports equipment and clothing.",Sports
Soccer Garage Affiliate Program,Physical Product,7% - 10% Per Sale,60 Days,http://www.soccergarage.com/Affiliate-Program.html,Soccer Garage is one of the largest soccer specialty showrooms in the US and its website is a leading supplier of soccer equipment.,Sports
Cesar’s Way Affiliate Program,Physical Product,5% - 8% Per Sale,35 Days,https://www.flexoffers.com/affiliate-programs/cesarsway-com-affiliate-program/,A pet shop specializing in dog supplies and training materials.,Pet
VetShop Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.shareasale.com/shareasale.cfm?merchantID=27370&utm_source=getlasso,"VetShop.com is one of America's leading online pet stores, offering the highest quality over-the-counter pet medications.","Pet, Pharmacy"
GDF Studio Affiliate Program,Physical Product,10% Per Sale,45 Days,https://gdfstudio.com/pages/partnership-program,"GDF Studio has been selling quality, discount home and garden furniture for over 10 years.",Home Decor
Hayneedle Affiliate Program,Physical Product,8% - 10% Per Sale,30 Days,https://www.viglink.com/merchants/374/hayneedle-affiliate-program,Hayneedle is a leading online home and furnishings and decor retailer.,Home Decor
GoVacuum Affiliate Program,Physical Product,10% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=43944&utm_source=getlasso,One of the largest online stores for vacuums.,Home Decor
Corner Stork Affiliate Program,Physical Product,12% Per Sale,120 Days,https://www.cornerstorkbabygifts.com/affiliate.aspx,The Corner Stork sells unique baby gifts and baby shower favors.,All-Around
Pregnancy Miracle Affiliate Program,Physical Product,75% Per Sale,60 Days,https://www.pregnancymiracle.com/affiliates.php,Pregnancy Miracle is an infoproduct on ClickBank that offers advice for different infertility disorders.,"Baby Products, Health and Wellness"
DreamHost Affiliate Program,Digital Service,$150 - $250 Per Sale,60 Days,https://www.dreamhost.com/affiliates/,"Since 1997 DreamHost has helped bloggers, web designers, and entrepreneurs across the world bring their dreams to life on the Internet.",Web Hosting
Cloudways Affiliate Program,Physical Product,Up to $125,90 Days,https://www.cloudways.com/en/web-hosting-affiliate-program.php,"Cloudways offers customers freedom of choice, optimized performance, 24/7 expert support, and simplicity in their cloud hosting.","High-Paying, Recurring, Web Hosting"
Flywheel Affiliate Program,Digital Service,300% Per Sale,Unknown,https://app.getflywheel.com/signup/affiliate,"Flywheel is a web host that offers blazing fast site speeds, friendly and efficient service, industry-leading management tools, and inspiring design.",Web Hosting
Regal Assets Affiliate Program,Digital Service,$30 - $100 Per Lead,Unknown,http://www.clickagain.com/join/7444/,"Gold Investing is one of the most lucrative niches on the Internet right now, and Regal Assets has the best offer for serious affiliates.","Cryptocurrency, Financial, Gold and Silver, High-Paying, Investing"
SellHealth Affiliate Program,Physical Product,$350 Per Sale,Unknown,https://affiliates.sellhealth.com/signup.php,SellHealth sells a lineup of natural health products.,"Affiliate Networks, Beauty, Fitness, Hair Product, Health and Wellness, Skin Care"
Market Health Affiliate Program,Physical Product,Varies,Unknown,https://stats.markethealth.com/signup/,The Market Health Affiliate Program allows you to market and promote the world’s leading health and beauty offers online.,"Affiliate Networks, Beauty, Health and Wellness, Keto, Skin Care, Supplements"
Libertex Affiliates Affiliate Program,Digital Service,5% Recurring,Unknown,https://libertex.com/partnership,"Since 1997, Libertex's Forex Affiliate Program has been helping clients with financial market and online-trading experience.","Cryptocurrency, Financial, Investing, Recurring"
FriendFinder Affiliate Program,Digital Service,100% Per Sale,Unknown,https://friendfinder.com/p/partners/main.cgi?action=signup&utm_source=getlasso,"FriendFinder deals mainly with adult entertainment, online dating, and social networking.","Dating, High-Paying"
Cupid Media Affiliate Program,Digital Service,75% Per Sale,45 Days,http://www.cupidmedia.com/en/affiliates,The Cupid Media Affiliate Program allows you to earn money by referring visitors from your website to one of their niche dating sites.,"Dating, High-Paying"
,,,,,,
,,,,,,
,,,,,,
Commission Factory Affiliate Program,Physical Product,5% - 7.5% Per Sale,Unknown,https://dashboard.commissionfactory.com/LogIn/#register,Commission Factory is an affiliate program that focuses on eCommerce and online retailers.,All-Around
Gourmet Ads Affiliate Program,Physical Product,Varies,Unknown,https://publishers.gourmetads.com/get-started/,Make money out of your passion for writing food-related content through using Gourmet Ads as your affiliate program.,Food
Jane Affiliate Program,Physical Product,11% Per Sale,Unknown,https://jane.com/affiliates,"Jane provides opportunities for bloggers involved in baby products, home goods, clothing and other miscellaneous products.",Fashion
ShopHer Media Affiliate Program,Physical Product,Unknown,Unknown,http://login.shophermedia.net/Welcome/signup.aspx,ShopHer Media enables female bloggers to earn revenue by any business generated from their site. It connects brands with millions of targeted shoppers.,All-Around
Flippa Affiliate Program,Digital Service,30% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=44876&utm_source=getlasso,"Flippa is hailed as being ""the entrepreneur’s marketplace"" for buying and selling websites.",Business
Beautiful Dawn Affiliate Program,Digital Product,30% Per Sale,60 Days,https://beautifuldawndesigns.net/affiliate-area/,Beautiful Dawn enables bloggers to earn a 30% commission for every customer you refer to its shop.,Business
Creative Market Affiliate Program,Digital Product,10% Per Sale,Unknown,https://creativemarket.com/partners,"The Creative Market program allows you to buy digital design products, such as fonts, WordPress themes and vector graphics.","Blogger, Business, Small Business, Software"
ClixGalore Affiliate Program,Digital Product,Varies,Unknown,https://www.clixgalore.com/AffiliateSignup.aspx,"ClixGalore is a pay-per-action affiliate network that offers various types of programs, including PPL (pay-per-lead), PPC (Pay-per-click), PPM (pay-per-impression) and PPS (pay-per-sale).",All-Around
rewardStyle Affiliate Program,Physical Product,Varies,Unknown,https://www.rewardstyle.com/,"rewardStyle is connected with a broad reach of fashion brands and retailers. It has a network of over 5,000 global retailers.",Fashion
FitBark Affiliate Program,Physical Product,12% Per Sale,60 Days,https://www.fitbark.com/affiliates/,FitBark’s affiliate marketing program allows owners of pet-related blogs and websites to earn a commission selling FitBark products through your website or blog.,Pet
Omnistar Affiliate Program,Physical Product,20% Recurring,Unknown,https://www.osiaffiliate.com/partner.htm,Omnistar is a great choice for affiliates looking to earn money from their blog or website.,All-Around
Forever 21 Affiliate Program,Physical Product,4% Per Sale,30 Days,http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?oid=272112&mid=37768&offerNid=1&controls=1%3A1%3A0%3A3%3A1%3A1&utm_source=getlasso,"Forever 21 is one of the largest fashion retailers in the world, offering the latest trends, must-have styles and the hottest deals in women’s, men’s and kid’s clothing and accessories,",Fashion
Urban Outfitter Affiliate Program,Physical Product,5% Per Sale,24 Hours,https://www.urbanoutfitters.com/help/affiliate,"Founded in 1970, Urban Outfitters operates more than 200 stores in the United States, Canada, Europe and online.",Fashion
ASOS Affiliate Program,Physical Product,5% Per Sale,30 Days,https://publisherpro.flexoffers.com/registration?RID=1100819&utm_source=getlasso,"With over 900 on-trend new styles added every week, plus more than 850 top brands, from high-street favorites to fresh catwalk discoveries, ASOS is the ultimate fashion destination for 16- to 34-year-olds.",Fashion
Bloomingdale’s Affiliate Program,Physical Product,2% Per Sale,Unknown,https://www.bloomingdales.com/b/about-us/affiliate-program-network-partner,"Founded in 1861, Bloomingdale's is an American department store chain.",All-Around
Tarte Affiliate Program,Physical Product,8% Per Sale,Unknown,https://tartecosmetics.com/en_US/affiliates-info.html,"Tarte believe in breaking down beauty boundaries, shattering stereotypes, and being kind.",Beauty
e.l.f. Affiliate Program,Physical Product,9% Per Sale,Unknown,https://www.viglink.com/merchants/221/e.l.f-cosmetics-affiliate-program,"E.l.f. prides themselves at being able to offer top quality, professional makeup products at prices that will impress you.",Beauty
Bobbi Brown Affiliate Program,Physical Product,8% Per Sale,Unknown,https://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?oid=365872&mid=35154&offerNid=1&controls=1%3A1%3A0%3A3%3A1%3A1&utm_source=getlasso,"Bobbi Brown is the internationally-renowned beauty expert who believes that makeup is a way for a woman to look and feel like herself, only prettier and more confident.",Beauty
Estée Lauder Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.esteelauder.co.uk/affiliate,"Since launching her first skincare collection in 1946, Estée Lauder now ranks as one of the most prestigious beauty brands around the world offering first-class and award-winning skincare, makeup, and fragrance collections.",Beauty
Urban Decay Affiliate Program,Physical Product,5% Per Sale,Unknown,https://www.viglink.com/merchants/90539/urban-decay-es-affiliate-program,Urban Decay is a cosmetic product company that first launched in 1996.,Beauty
Laura Geller Affiliate Program,Physical Product,10% Per Sale,30 Days,https://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?oid=356089&mid=39840&offerNid=1&controls=1%3A1%3A0%3A1%3A1%3A1&utm_source=getlasso,Laura Geller Beauty is in thousands of retail doors and has a massive audience with cult-favorite products like Spackle® and Baked.,Beauty
Laura Mercier Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.flexoffers.com/affiliate-programs/laura-mercier-affiliate-program/,"Laura Mercier, the pioneer of the “Flawless Face”, is a world-renowned makeup artist and creator of Laura Mercier Cosmetics, Skincare, Body & Bath, and Fragrance.",Beauty
Tripadvisor Affiliate Program,Digital Service,50% - 80% Per Sale,14 Days,https://www.tripadvisor.com/Affiliates,Joining the Tripadvisor Travel Affiliate Program enables you to partner with the world’s largest and most trusted travel community.,"High-Paying, Travel"
Etihad Airways Affiliate Program,Digital Service,2% Per Sale,30 Days,https://www.etihad.com/en/promotions/etihad-affiliate-program/,"From its Abu Dhabi base, Etihad Airways flies to over 100 existing or announced passenger and cargo destinations in the Middle East, Africa, Europe, Asia, Australia, and the Americas.","Airline, Travel"
AirHelp Affiliate Program,Digital Service,16–25€ Per Sale,30 Days,https://www.airhelp.com/en/affiliate/,"AirHelp is the world’s leading flight compensation company. They handle the claims process on behalf of the passenger, and as a travel affiliate, you incorporate their tool into your website in exchange for an attractive commission on each processed claim.",Travel
Panasonic Affiliate Program,Physical Product,3% - 5% Per Sale,Unknown,http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?oid=368272&mid=36726&offerNid=1&controls=1%3A1%3A0%3A3%3A1%3A1&eid=TIgetuPZK0k&lsnoid=NONE&utm_source=getlasso,Panasonic is one of the largest product manufacturers in the world providing a diverse range of electronics.,Electronics
Olympus Affiliate Program,Physical Product,3% Per Sale,15 Days,http://www.getolympus.com/us/en/affiliate_program,"As a leading manufacturer of digital cameras, lenses, audio recorders and binoculars Olympus has a rich history dating back to 1919.",Photography
Vans Australia Affiliate Program,Physical Product,10% Per Sale,Unknown,https://www.viglink.com/merchants/101431/vans-australia-affiliate-program,"Even in Australia, Vans is a leading action sports lifestyle company.",Sports
Keds Affiliate Program,Physical Product,4% Per Sale,30 Days,https://www.keds.com/en/content?caid=cs-keds-affiliates&utm_source=getlasso,Keds is the iconic American sneaker brand founded in 1916.,Fashion
TOMS Affiliate Program,Physical Product,8% Per Sale,Unknown,https://www.toms.com/affiliate-program,"Join the TOMS family and give back through the purchases of their shoes, eyewear, coffee, bags and more.",Fashion
Florsheim Affiliate Program,Physical Product,7% Per Sale,Unknown,https://www.viglink.com/merchants/13474/florsheim-affiliate-program,Florhseim Shoes is an American shoe brand that was founded in 1892.,Fashion
Charles & Keith Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.charleskeith.com/sg/information/about-us/affiliates.html,The Charles & Keith brand is the fashion destination for stylish urbanites and is synonymous with curated collections of relevant designs.,Fashion
Jimmy Choo Affiliate Program,Physical Product,8% Per Sale,14 Days,https://meridian.sovrn.com/account/signup?d=com&utm_source=getlasso,"Jimmy Choo is a 21st century luxury accessories brand, with shoes at its heart, offering an empowered sense of glamour and a playfully daring spirit.",Fashion
Adidas Affiliate Program,Physical Product,13.05% Per Sale,30 Days,https://www.adidas.com/us/what-is-our-affiliate-program.html,"Since 1949 they have created new athletic footwear, sport-centric fashion and accessories designed to help people harness the power of sport in their life.","Shoes, Sports"
New Balance Affiliate Program,Physical Product,4% Per Sale,30 Days,https://www.newbalance.com/exp-pages/exp-affiliate.html,New Balance has a rich and storied history of providing runners and other athletes with premium footwear and apparel for over 100 years.,Sports
lululemon Affiliate Program,Physical Product,5% - 7% Per Sale,Unknown,http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?oid=550015&mid=42924&offerNid=3&controls=1%3A1%3A0%3A3%3A1%3A1&utm_source=getlasso,"Founded by Chip Wilson in Vancouver, Canada in 1998, lululemon is a yoga-inspired, technical athletic apparel company for women and men.",Sports
Coleman Affiliate Program,Physical Product,5% Per Sale,3 Days,https://www.coleman.com/coleman-affiliates.html,Outfit yourself and your website visitors for outdoor fun with products from the Coleman family.,Sports
Brooks Affiliate Program,Physical Product,6.62% Per Sale,Unknown,https://www.viglink.com/merchants/22408/brooks-running-affiliate-program,"Brooks designs superior running shoes and apparel for men, women, boys, and girls.",Sports
Weight Watchers Affiliate Program,Physical Product,$10 Per Sale,Unknown,https://www.weightwatchers.com/us/affiliate,Weight Watchers has helped millions lose weight all over the world.,"Food, Health and Wellness, Vegan, Weight Loss"
GoDaddy Affiliate Program,Digital Service,10% - 15% Per Sale,Unknown,https://www.godaddy.com/affiliate-programs,GoDaddy is an American internet domain registrar and web hosting company.,Web Hosting
MailTag Affiliate Program,Digital Service,50% Recurring,90 Days,https://mailtag.growsumo.com/,"Mailtag is an all-in-one Chrome extension for email tracking, scheduling, and auto follow-up.","CRM, High-Paying, Recurring, Software"
Animoto Affiliate Program,Digital Service,20% Per Sale,Unknown,https://animoto.com/affiliates,Animoto allows users to create professional videos easily on the web.,"Internet Marketing, Video"
Tailwind Affiliate Program,Digital Service,15% Per Sale,90 Days,https://affiliates.tailwindapp.com/,Tailwind lets users schedule their Pinterest pins and Instagram posts in advance.,Internet Marketing
AWeber Affiliate Program,Digital Service,30% Recurring,1 Year,https://www.aweber.com/affiliates.htm,AWeber is an email marketing platform to help business send emails people love.,"Email Marketing, High-Paying, Recurring, SaaS, Software"
RoseHosting Affiliate Program,Digital Service,10% - 15% Recurring,Unknown,https://www.rosehosting.com/vps-affiliate-program.html,RoseHosting has been providing quality VPS hosting services since 2001.,"Recurring, Web Hosting"
Bluchic Affiliate Program,Digital Product,25% Per Sale,Unknown,https://www.bluchic.com/affiliates/,Bluchic offers premium feminine Wordpress themes.,"Business, High-Paying"
Gravity Forms Affiliate Program,Digital Product,20% Per Sale,30 Days,https://app.impact.com/campaign-promo-signup/Gravity-Forms.brand?execution=e1s1&utm_source=getlasso,Gravity Forms is a tool to help you create advanced forms for Wordpress sites.,Software
Elegant Themes Affiliate Program,Digital Product,50% Recurring,180 Days,https://www.elegantthemes.com/affiliates/,"Elegant Themes offers themes and plugins for Wordpress, including the popular Divi theme.","Blogger, Business, High-Paying, Recurring, Software, WordPress"
StudioPress Affiliate Program,Digital Product,35% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=28169&utm_source=getlasso,StudioPress has created themes and tools to help with building amazing Wordpress sites.,"Business, High-Paying"
Pretty Darn Cute Design Affiliate Program,Digital Product,25% Per Sale,60 Days,https://www.shareasale.com/shareasale.cfm?merchantID=58698&utm_source=getlasso,PDCD is a leader in feminine Wordpress themes.,"Business, High-Paying"
CreativeLive Affiliate Program,Digital Product,30% Per Lead,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=59453&utm_source=getlasso&utm_campaign=SASoffer&utm_content=775664&utm_medium=affiliate,CreativeLive offers free live classes and a digital catalog to teach new skills.,"Art, Crafts, Education, Financial, Graphic Design, High-Paying, Photography, Video"
Blog Clarity Affiliate Program,Digital Product,15% Per Sale,90 Days,https://www.blogclarity.com/blogclarity-affiliate/,Blog Clarity helps bloggers grow their blog.,Business
Teachable Affiliate Program,Digital Service,30% Recurring,90 Days,https://teachable.com/affiliates,Teachable allows people to create and sell their own online courses.,"Course Builder, Credit Repair, Education, High-Paying, Recurring, SaaS"
Weebly Affiliate Program,Digital Service,30% Per Sale,120 Days,https://www.shareasale.com/shareasale.cfm?merchantID=37723&utm_source=getlasso,Weebly provides a drag-and-drop website builder to help you build a website.,"High-Paying, SaaS, Software"
Wix Affiliate Program,Digital Service,$100 Per Sale,30 Days,https://www.wix.com/about/affiliates,Wix is a popular website creator that offers different ways to build.,"High-Paying, SaaS, Software"
SamCart Affiliate Program,Digital Service,30% Recurring,Unknown,https://checkout.samcart.com/affiliates/signup,"SamCart is a web-based checkout platform. It helps you create a beautiful page that showcases your product and accepts the order all on the same page.
","Course Builder, Ecommerce, High-Paying, Recurring, SaaS, Software"
Capsule Affiliate Program,Digital Service,20% Recurring,Unknown,https://capsulecrm.com/affiliate/,"Capsule is smart, simple online CRM (customer relationship management).","Business, Recurring"
Wrike Affiliate Program,Digital Service,$100 - $200 Per Sale,90 Days,https://www.wrike.com/affiliates/,Wrike offers a leading work management solution to help businesses.,"Business, High-Paying"
Freshworks Affiliate Program,Digital Service,Varies,120 Days,https://www.freshworks.com/company/affiliate-partner/,"Freshworks creates business products, such as Freshsales, Freshdesk, and Freshservice.","Business, Helpdesk, SaaS"
Telestream Affiliate Program,Digital Product,15% Per Sale,90 Days,https://www.telestream.net/company/affiliates/telestream-affiliates.htm,"Telestream is the creator of Screenflow, Wirecast, and other software.",Software
Kay Affiliate Program,Physical Product,7% Per Sale,1 Day,https://www.kay.com/kay-affiliate-program,"For more than 100 years, Kay has devoted itself to providing beautiful, affordable and accessible jewelry to all.","Fashion, Jewelry, Watch"
Mala Collective Affiliate Program,Physical Product,20% Per Sale,45 Days,https://malacollective.refersion.com/,"The Mala Collective is a seller of mala beads, all handmade with real gemstones by female artisans.",Fashion
Jeulia Affiliate Program,Physical Product,8% Per Sale,30 Days,https://www.jeulia.com/affiliate-program.html,"Jeulia sells premium artisan jewelry. The company believes that, through jewelry, we're afforded the ability to not only personalize a look but also evoke emotion and create memories.",Fashion
Shutterfly Affiliate Program,Physical Product,2% - 10% Per Sale,180 Days,https://www.shutterfly.com/affiliate/terms_conditions.jsp,"Shutterfly is a Web-based photo service. Once you've uploaded photos from your computer to Shutterfly, you can correct red-eye, perform special enhancements (such as converting a color photo to black and white), and crop photos to make sure your intended subject is the center of attention.
",Photography
For Your Party Affiliate Program,Physical Product,10% - 15% Per Sale,90 Days,https://www.foryourparty.com/affiliate-program,"FYP is the leading online of personalized party and wedding accessories, favors, and other event essentials.",All-Around
HitchSwitch Affiliate Program,Digital Service,10% Per Sale,Unknown,https://www.hitchswitch.com/affiliates,HitchSwitch helps people to easily change their names.,All-Around
Shutterstock Affiliate Program,Digital Product,20% Per Sale,30 Days,https://www.shutterstock.com/explore/affiliates,"Shutterstock is a leading global provider of high-quality licensed stock photographs, vectors, illustrations, videos, and music.",Photography
PicMonkey Affiliate Program,Digital Product,30% Per Sale,45 Days,https://www.shareasale.com/shareasale.cfm?merchantID=46133&utm_source=getlasso,"PicMonkey helps everyday creatives design compelling images that make a point, express a view, and leave an impression.",Software
99designs Affiliate Program,Digital Product,$60 - $100 Per Sale,Unknown,https://99designs.ca/affiliates,99designs is the world's largest graphic design marketplace.,"Business, Graphic Design"
Barefoot Yoga Affiliate Program,Physical Product,10% Per Sale,60 Days,https://www.barefootyoga.com/barefoot-yoga-affiliate-program,Barefoot Yoga sells yoga and meditation products.,"Fitness, Meditation, Metaphysical, Yoga"
Jade Yoga Affiliate Program,Physical Product,20% Per Sale,30 Days,https://jadeyoga.com/pages/affiliate-program,Jade Yoga sells mats and other products for those practicing yoga.,"Fitness, Yoga"
Vega Affiliate Program,Physical Product,8% - 15% Per Sale,7 Days,https://myvega.com/pages/affiliates,"Vega is aimed at athletes, vegetarians and health-conscious consumers seeking organic, plant-based, whole food products.",Health and Wellness
Reebok Affiliate Program,Physical Product,7% Per Sale,30 Days,https://www.shareasale.com/shareasale.cfm?merchantID=45519&utm_source=getlasso,"Reebok creates and markets sports and lifestyle products built upon a strong heritage and authenticity in sports, fitness, and women’s categories.","Fashion, Fitness, Shoes, Sports"
Yuve Affiliate Program,Physical Product,15% Per Sale,60 Days,https://docs.google.com/forms/d/e/1FAIpQLSePpReGIcSCpmLvz-BAVwwE5Hl5jxcrXIbapXZHXhdIanORsw/viewform,Yuve produces nutritional plant-based shakes.,Health and Wellness
Direct Eats Affiliate Program,Physical Product,5% Per Sale,90 Days,https://www.shareasale.com/shareasale.cfm?merchantID=40174&utm_source=getlasso,"Direct Eats is a premier online destination to shop for natural, organic, and locally-made products. With equal enthusiasm for food and the pursuit of healthier living, the company is working to redefine how America brings better food to its tables.",Food
Healthy Goods Affiliate Program,Physical Product,10% Per Sale,30 Days,https://healthygoods.com/affiliate-program/,"Healthy Goods seeks out the best nutrient-dense, raw, certified organic, and Non-GMO superfoods from exotic locations around the world in order to bring you better health the way nature intended - from food.","CBD, Food, Health and Wellness, Herbal, Supplements"
FatCow Affiliate Program,Digital Service,$25 - $150 Per Sale,Unknown,https://www.fatcow.com/affiliate/gettingstarted.bml,"FatCow was designed from the start to be a different alternative in Web hosting. It decided that a simpler, more customer-friendly approach was needed.","High-Paying, Web Hosting"
LogMeIn Affiliate Program,Digital Service,30% Per Sale,Unknown,https://goto.yourefer.com/register-partner/,LogMeIn provides various SAAS services that allow remote interaction between users.,Business
ClickMeeting Affiliate Program,Digital Service,30% Per Sale,120 Days,https://clickmeeting.com/partners,ClickMeeting allows you to host webinars regardless of device. It is rich in features.,"Business, Recurring"
Getty Images Affiliate Program,Digital Product,20% Per Sale,30 Days,https://affiliates.gettyimages.com/,"Getty Images drives the industry forward as the most trusted and esteemed source of visual content in the world. Also, iStock by Getty Images has empowered millions of creatives around the world to create beautiful communications on a budget.",Photography
MOO Affiliate Program,Physical Product,1% - 12% Per Sale,Unknown,https://www.moo.com/ca/affiliates.html,"With MOO, create business cards, postcards, flyers, and more.",Business
NutCache Affiliate Program,Digital Service,$10 - $60 Per Sale,3 Years,https://www.nutcache.com/about-us/affiliate-program/,NutCache is an award-winning online project management and team collaboration web app with invoicing and expense management.,Business
Grasshopper Affiliate Program,Digital Service,$100 Per Sale,90 Days,https://grasshopper.com/affiliates/,Grasshopper is a virtual phone system. Get a business phone number plus all of the features of a robust phone system without the expense of additional devices.,Business
